session_a,session_b,n_item_pairs,median_lift,pct_lift_gt_1_5,pct_lift_lt_0_7
Understanding Coding Question Formats,Understanding Coding Question Formats,253,1.4380920755851838,0.4150197628458498,0.0
Conditional Statements,Conditional Statements,5462,1.407711749838359,0.4170633467594288,0.03753203954595386
Conditional Statements,Understanding Coding Question Formats,3650,1.180911580622643,0.18136986301369862,0.05506849315068493
For Loop,For Loop,1919,1.1767626613704074,0.06513809275664409,0.01928087545596665
Loops,Loops,3846,1.155079783062611,0.10738429537181488,0.07384295371814872
For Loop,Understanding Coding Question Formats,2394,1.150266980714595,0.11152882205513784,0.05889724310776942
For Loop,Loops,5430,1.1319603029924121,0.07421731123388582,0.046224677716390425
Conditional Statements,For Loop,6357,1.1314689810350371,0.13150857322636464,0.04263017146452729
Conditional Statements,Nested Conditional Statements,9177,1.120098039215686,0.13097962297046964,0.03552359158766481
Loops,Understanding Coding Question Formats,3151,1.1141141141141142,0.10218978102189781,0.04823865439543002
Nested Conditional Statements,Understanding Coding Question Formats,2806,1.1039678537366817,0.09907341411261582,0.0541696364932288
For Loop,Nested Conditional Statements,5526,1.0814606245401657,0.061346362649294245,0.03727832066594282
Conditional Statements,Loops,9431,1.076949501889385,0.1340260841904358,0.09680839783692079
Nested Conditional Statements,Nested Conditional Statements,4215,1.0702816901408452,0.06975088967971531,0.032740213523131674
Loops,Nested Conditional Statements,8274,1.069233284244108,0.06417693981145758,0.03964225284022238
