Domains/Content Stacks,POC,Tracks,NxtWave Internal Course Title,Content Hours
Programming,Chanakya,,Computer Programming using Python,60
,,,Computer Programming using JS,35
,,,Computer Programming using Java,30
DS&Algo,Pavan Teja,,Data Structures and Algorithms,80
,,,Advanced Data Structures and Algorithms,80
,,,Problem Solving Techniques,80
FullStack,Chanakya,FullStack MERN,Web Application Development ,55
,,,Frontend Development Using React,35
,,,"Backend Development Using Node, MongoDB",30
,,FullStack Python Django,Django Backend Development,30
,,FullStack Java SpringBoot,SpringBoot Backend Development,30
,,,AI FullStack Projects,
CS Core,Chanakya,Developer Foundations,Database Management Systems,35
,,,Operating Systems,35
,,,Computer Networks,35
,,,Github & Linux 101,10
,,BTP (BTech Projects),React Projects,
,,,MERN Projects,
DS/ML,Manvish,Math for ML,Probability and Statistics,25
,,,Linear Algebra and Calculus,25
,Rushikesh,,DataScience Foundations,25
,,,Data Visualisation Tools,45
,,,Introduction to Machine Learning,25
,,,UnSupervised Learning,40
,,,Introduction to Deep Learning,25
,,,Deep Learning for Computer Vision,25
,,,Deep Learning for Natural Language Processing,40
,,,Productionisation of ML systems,30
,,,Advanced GenAI ,40
GenAI,PushpaLatha Chenna,,Introduction to GenAI,30
,,,Building LLM Applications,30
,,,Practical Software Engineering,30
,,,AI For Finance,
,,,AI For Sales,
,,,AI For HR,
,,,,
,,,,
,PushpaLatha Chenna,Tech Workshops,Base 44 Mastery,
,,,OpenAI Workshop,
System Design,PushpaLatha Chenna,,High-Level System Design,30
,,,Low Level System Design,30
Aptitude,Prudhvi,,Quantitative Aptitude,30
,,,Numerical Ability,30
,,,Logical Reasoning,30
,,,Advanced Aptitude,30
English,Tejaswini,,Communicative English Foundation,15
,,,Communicative English Advanced,15
,,,Applied Communicative English,15
,,,Language Analytics,15
DevOps & Testing,Chanakya,,Cloud Computing Foundations,30
,,,Testing With Selenium,30
Physical AI,Sai Teja,,Course 1 (Yet to Confirm Names),
,,,Course 2  (Yet to Confirm Names),
,,,Course 3  (Yet to Confirm Names),
,,,Course 4  (Yet to Confirm Names),
