University,Code,Academic Discussions,Delivery,Framework Preference,Accredization,BOS Curriculum Reference Link,City
MRV University,MRV,Strict,Full Delivery,AICTE,,[MRV] NIAT Curriculum AICTE Aligned V0,Hyderabad
Yenepoya University,YMC ,Flexible,Co Delivery,AICTE,NAAC A+,[Yenepoya] NIAT Curriculum AICTE Aligned V0,Manglore
A Dy Patil University,ADYPU,Strict,Full Delivery,AICTE,, ADYPU_NIAT Curriculum AICTE Aligned V0,Pune
Sanjay Godhawat University,SGU,Flexible,Co Delivery,AICTE,"NBA
NAAC A+",[SGU] NIAT Curriculum AICTE Aligned V0,Kolhapur
CDU,CDU,Flexible,Co Delivery,AICTE,NAAC A,[CDU 2025-Updated] NIAT Curriculum AICTE Aligned V0,Hyderabad
Annamacharya University,Annamacharya,Flexible,Co Delivery,AICTE,,[Annamacharya] NIAT Curriculum AICTE Aligned V1,Kadapa
S-Vyasa,S Vyasa,Flexible,Co Delivery,AICTE,NAAC A+,[S-Vyasa] NIAT Curriculum AICTE Aligned V0,Bangalore
Vivekananda global University,VGU,Strict,Full Delivery,"AICTE, NEP","NBA
NAAC A+",[VGU] NIAT Curriculum AICTE Aligned V0,Jaipur
NRI Institute of Technology,NRIIT,Flexible,Co Delivery,AICTE,"NAAC A
NBA",[NRI] NIAT Curriculum AICTE Aligned V0,Vijaywada
NSRIT,NSRIT,Strict,Hybrid Delivery,,,[NSRIT] NIAT Curriculum AICTE Aligned V0,Vizag
Chalapathy,Chalapathy,Strict,Hybrid Delivery,AICTE,,[Chalapathy] NIAT Curriculum AICTE Aligned V0,Guntur
Noida International,NIU,Flexible,Co Delivery,"UGC, NEP",NAAC A+,[NIU] NIAT Curriculum AICTE Aligned V0,Noida
Crescent University,Crescent,Very Strict,Co Delivery,AICTE,"NAAC A+
NBA
IQAC
Many more",[Crescent] NIAT Curriculum AICTE Aligned V0,Chennai
Takshashila University,Takshashila,Flexible,Co Delivery,AICTE,IQAC,[TAKSHASHILA] NIAT Curriculum AICTE Aligned V0,Pondicherry
BITS BSC,BITS ,Flexible,Hybrid Delivery,,,"[BITS 2024,25] NIAT Curriculum AICTE Aligned V0",Hyderabad
Aurora University,Aurora,Very Strict,Full Delivery Plus,,,[Aurora] NIAT Curriculum AICTE Aligned V0,Hyderabad
Academy of Maritime education & Technology,AMET,Flexible,Full Delivery,AICTE,,[AMET] NIAT Curriculum AICTE Aligned V0,Chennai
,,,,,,,
NIAT Batch 3 Grid Template,,,,,,NIAT Curriculum AICTE Aligned V0,
University Specific LMS Whitelisted Accounts,,,,,,White listed OTP's,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,ADYPU_NIAT_2025.docx,Adypu 
,,,,,,https://nxtwave1-my.sharepoint.com/:w:/g/personal/aman_kumar_nxtwave_co_in/ERqZOnoWGWBOqHmVe7eiVtUB3AwI-FKxlQk4tFhQiWjRhg?e=V1rv9l,Crescent 
