Stack,NxtWave Internal Course Title,Course Outcome,Course Id,Prerequisite Course Ids,Course Contents,Session Mastery Taxonomy
Programming & Algorithms,Computer Programming using Python,"Learner goes from zero to writing correct, working Python programs — variables, control flow, loops, four data structures of Python, functions, and standard-library usage, with fluency in Python's specific error patterns",4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,-,Computer Programming using Python Course Contents,
,Computer Programming using JS,,,,,
,Computer Programming using Java,,,,,
,Data Structures and Algorithms using C++,,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,-,Data Structures and Algorithms using C++ Contents,
,Advanced Data Structures and Algorithms,,,,,
,Problem Solving Techniques,,,,,
FullStack,Web Application Development ,,,,,
,Frontend Development ,,,,,
,Advanced Frontend Development Using React,,40ab5ebd-3def-4faf-adca-3d39d921df1c,,https://docs.google.com/spreadsheets/d/1VgezJjz0cLiaeVAGKmVkDXF10q4XaHI2AkE1ri807DE/edit?gid=1090752765#gid=1090752765 ,https://docs.google.com/spreadsheets/d/1IbeJVyp4ubCXzgEOUAPqewSjXEeZnQl_RRHSj9I4wLw/edit?gid=994240038#gid=994240038 
,"Backend Development Using Node, MongoDB",,,,,
,Django Backend Development,,,,,
,SpringBoot Backend Development,,,,,
,AI FullStack Projects,,,,,
,React Projects,,,,,
,MERN Projects,,,,,
CS Core,Database Management Systems,,,,,
,Operating Systems,,,,,
,Computer Networks,,,,,
,Github & Linux 101,,,,,
Induction,Introduction to Software Development,,10114fc8-7285-453e-bfda-933a15438c2c,-,Intro to Software Development Contents,
DS/ML,Math for CSE,,5561762b-2974-43f7-a5f5-b0f56a3828ed,,Maths for CSE Contents,
,Probability and Statistics,,,,,
,Linear Algebra and Calculus,,,,,
,Data Science Foundations,,,,,
,Data Analytics Foundation,,,,,
,Data Analytics with PowerBI,,,,,
,Data Analytics with Tableau,,,,,
,Introduction to ML and Classification Algorithms,,,,,
,Supervised Learning: Regression,,,,,
,Ensemble Learning,,,,,
,Unsupervised Learning,,,,,
,Introduction to Deep Learning,,,,,
,PyTorch for Deep Learning,,,,,
,Intorduction to Natural Language Processing,,,,,
,Advanced NLP : Sequence and Attention Models,,,,,
,Foundations of Computer Vision with CNNs,,,,,
,AI Vision Systems: Detection & Segmentation,,,,,
,Generative AI for Vision: Transformers & Diffusion Models,,,,,
,Productionisation of ML systems,,,,,
,Advanced GenAI ,,,,,
GenAI,Introduction to GenAI,,b9811b34-585b-47e0-a0be-65f1081a74f2,,https://docs.google.com/spreadsheets/d/186LDczeNaWnWpzrL8FnGOddm2gzN-DfEaFpH4fdmRV8/edit?gid=418476831#gid=418476831,
,Building LLM Applications,,8874b642-82db-4274-8d71-b9940316db8d,,,
,Practical Software Engineering,,,,,
,AI For Finance,,,,,
,AI For Sales,,,,,
,AI For HR,,,,,
,Base 44 Mastery,,,,,
,OpenAI Workshop,,,,,
System Design,High-Level System Design,,,,,
,Low Level System Design,,,,,
Aptitude,Quantitative Aptitude,,,,,
,Numerical Ability,,,,,
,Logical Reasoning,,,,,
,Advanced Aptitude,,,,,
English,Communicative English Foundation,,,,,
,Communicative English Advanced,,,,,
,Applied Communicative English,,,,,
,Language Analytics,,,,,
DevOps & Testing,Cloud Computing Foundations,,,,,
,Testing With Selenium,,,,,
Physical AI,Course 1 (Yet to Confirm Names),,,,,
,Course 2  (Yet to Confirm Names),,,,,
,Course 3  (Yet to Confirm Names),,,,,
,Course 4  (Yet to Confirm Names),,,,,
