Task,Description,Link,Priority,Status COmments,POD,Eng. needed,Buisness stakeholder,Anurag comments,Revanth discussion comments,Comment,PM,Status,Developers,
"Deploy all the ~15 June, May Content Facing agentic Workflows With Auth, Production URL",,,-1,,,Yes,,,,,SME,,,"Functional Requirement, SME Led, L Size"
Provide MCP Server to access content for each Course ,,,-1,,,Yes,,,,,Rajesh,In Progress,Priyanshu,"Functional Requirement, Dev Led, XL Size"
Issue Observability & Alert when deviation from pedagogy happens from design - https://niat-ops-intelligence.streamlit.app/,,,-1,,,Yes,,,,,SME,,,"New Workflow, XL Size, SME Led"
"Issue Routing Agent:
 
Automating RCA Resolution process & arriving at timelines/fixes: https://claude.ai/public/artifacts/f12af56b-b2d5-47ec-96c2-4d5171f5e033
Issues sheet: https://docs.google.com/spreadsheets/d/1EI85RX9uo7zrqwLuJ4Q34xuqJDx_hQTEaNw1kcFQAeI/edit?gid=855597069#gid=855597069",,,-1,,,Yes,,,,,SME,,,"New Feature, XL Size, SME Led"
"Provide Platform Monitoring Dashboards (n8n license expired, react Ide - outdated packages being used in , n8n Ide reliability)","react ide - outdated packages being used in
- keep a scheduler for 2 weeks once get all unique packages from question boilerplates and showing latest version for each in dashboard in desc order.
- for test packages we can get from SMEs and use those as fixed.

Adding alert when n8n licence expired and showing same in dashboard
n8n ide reliability:
- 

",,-1,,,Yes,,,,,Rajesh,Completed,Narayana,"Dev Led, L Size, New Feature"
MCQ Revamp,"Practice page suppresses learning via 9 UX gaps (no feedback on wrong answers, no progress indicator, flat difficulty, discouraging failure screen, etc.) — full PS1–PS9 breakdown + fixes in ClickUp/PRD.",https://app.clickup.com/t/86d23tjyu,0,,Common,Yes,,Aligned,,,Aryan,In Progress,Chandrika,"Enhancement, L Size, Product Led

Adaptive MCQs was picked on a higher priority before this. 
Will be completed in this month. "
"Migrate to new compiler architecture across the entire platform (python, cpp, java)",Discussed,https://app.clickup.com/t/37446639/86d3gjy2f,0,,DSA,Yes,Pavan Teja,"Aligned, curriculum can push",,"Currently testing it across all the existing questions to ensure it produces the same output as before. For example, if a question previously resulted in TLE, we expect the same result now. Expected to get completedby this week",Rohan,Completed,Narayana,"Enhancement, M Size, Product Led"
IDE Submission Time ,"Currently the IDE (React and Node) are taking more than 1 minute, it needs to be reduced to near 30 seconds",https://app.clickup.com/t/37446639/86d3hqyay ,0,Pushed to PROD,Fullstack,Yes,,Aligned,,Work in progress,Sarthak,Completed,Nokhalal,"Enhancement, L Size, Product Led"
IDE code preview ,Currently the student cannot open and the see the previous submitted code of a question while solving another question. Need to have a option where the student can see the previous submitted code while solving another question. ,https://app.clickup.com/t/37446639/86d3h09m0 ,0,Pushed to PROD,Fullstack,Yes,,Aligned,,Work in progress,Sarthak,Completed,Ritesh,"Enhancement, L Size, Product Led"
AI workflow - PPT generation,,,0,,Fullstack,Yes,,"Aligned, curriculum can push",,,SME,,Ritesh,"SME Led, New Workflow, XL size"
AI Tutor at coding practice bug fixex - DSA,Fix the bug affecting the AI Tutor within the DSA coding practice experience so it responds correctly to learners.,https://app.clickup.com/t/37446639/86d2kfrb5,0,,DSA,Yes,,Aligned,,"DSA, Common",Lokeshwar,Completed,Nokhalal,"Enhancement, S Size, Product Led"
AI workflow (coding Q generation) Improvements,,,0,,DSA,Yes,,"Aligned, curriculum can push",,,SME,,,
"Learning portal has classroom quiz - with glitches, sometimes we will automatically be thrown out",,,0,,Common,Yes,,"Aligned, should be priority 0",,,Rajesh,In Progress,Narayana,"Added Logs in prod, narayana will check logs"
Not able to Open reading material / tutorial when huge number of users use them,,https://app.clickup.com/t/37446639/86d3hr3d9 ,0,,Common,Yes,,"Aligned, should be priority 0",,,Lavanya,In Progress,Nokhalal,"Added logs in beta, Will be deployed to prod after testing"
Able to Copy/Paste code snippets Through Safari browser,,,0,,Common,Yes,,"Aligned, should be priority 0",,Could not able to reproduce the issue,Lavanya,Blocked,,checked by chandravamshi. ISS-094 check this issue
Deciding on integrity metrics,,https://docs.google.com/document/d/1XcbcPoWIIBa4pBf6xg4-72DmXm6RlGjZkqBG1nE8etw/edit?tab=t.0#heading=h.xhqrc9yc6jau,3,,Common,No,Anurag,"Aligned, should be priority 0",,,Anjali,Completed,,"exploring the way forward, will prpose the Revanth and Pavan the idea and get approval to work on in the next month"
Programming Coach,"Embed the programming coach into the LP as a usable, adopted feature that guides students to answers via hints instead of giving them away.

Define the feature — scope, UX, and trigger point in the LP; fix what caused non-adoption.
Prompt Enhancements — sharpen the coaching prompts for quality, Socratic behavior, and no repetition.
Offline Evals — test harness to score coach quality before release.
Roll out plan — phased release, target cohorts, adoption metrics.",,0,,Common,No,,"Aligned, should be priority 0",,Common,Lokeshwar,Completed,,Launching it to more studetns & improving based on feedback - students are not using; finding out why.
Automate the n8n workflow testing with a script.,"Build a script to automate testing of the n8n workflow, reducing manual testing effort and catching regressions early.",,0,,Genai,Yes,,"Aligned, curriculum can push",,GenAI,SME,In Progress,Hrithik,
DS/ML questions replacement in Academy,Replace the existing DS/ML question bank in Academy with an updated set of questions to improve coverage and quality.,,0,,DS/ML,Yes,,"Aligned, curriculum can push",,DS/ML,SME,Completed,Hrithik,
Replace the existing MCQs in the Prod Data Visualization courses,"The current MCQs (copied from Academy) don't have explanations, but NIAT requires explanations.",,0,,,Yes,,,,DS/ML -  Adhoc,SME,,,
Remove GRIT courses from 'Other Courses' Tab,GRIT courses are incorrectly surfacing in the 'Other Courses' tab; remove them so they only appear in their intended GRIT section.,https://app.clickup.com/t/37446639/86d2wp01x,0,,Common,Yes,,"Aligned, should be priority 0",,,Aryan,Completed,Chandrika,
IDE UI/UX revamp ,"Update the color, font, add timer and modernize the UI of the existing IDE.",https://app.clickup.com/t/37446639/86d3mmebb ,0,Pushed to PROD,Fullstack,Yes,,Aligned,, To be picked up - ready for development,Sarthak,Completed,Ritesh,
Replace the existing MCQs & Coding quetsions in Prod with new questions,,,0,,,,,,,GEN-AI Adhoc,SME,,,
Module Quiz Implementation should be changed as classroom quiz,"To make the module quiz onboarding work like the live quiz, we need to add a quiz code that users can enter to start the quiz.",https://app.clickup.com/t/37446639/86d3kc8av,1,,,Yes,Pavan G,,,"After discussing this with Rajesh, I found that we already have a similar feature that can address this requirement. I revalidated the approach",Rohan,Yet to start,,"Blockers are cleared , will be picked in next month as dev bandwidth is not available now"
HTML element support in the Markdown,"Add support for HTML-formatted tutorials within the DS/ML curriculum for richer, better-structured content.",https://docs.google.com/document/d/1oi4BHoJomrtnzP4H0QG7yenzKJciiHhzoKP63AkfV0s/edit?usp=sharing,1,,Common,Yes,,Should be common rather than curriculum specific,"Pending approval
Full change to HTML or just HTML blocks within markdown?

Check if any existing features are lost and if actually there is a usecase for full HTML tutorials.",GenAI,Lokeshwar,Discarded,,Discarded. As curriculum agreed to use existing way of loading html files.
HTML based simulation support at Session level,A feature to add sumulations at the session level.,https://docs.google.com/document/d/1D9FmdUUg-RDRzK7ZJpCVUejWz3ArCudrG6vF3WNf6Y4/edit?usp=sharing,1,,,Yes,,,,DS/ML&Math - Got more clariry after exploration,Lokeshwar,Testing in progress,,In Beta
n8n IDE Exam support in LP/Topin,Add n8n IDE support for exam mode in the Learning Platform / Topin so students can be assessed within the LP/Topin,,1,,Genai,Yes,,"Aligned, curriculum can push",,GenAI - Lavanya (check with chandra vamsi),Lokeshwar,Blocked,,Blocked with Curriculum
IDE health dashboard - v1,Need to monitor the logs of the fullstack IDE to keep a track over its working,,1,Completed,Fullstack,Yes,,Aligned,,Completed,Sarthak,Completed,Jatin,
IDE health dashboard  - v2,Need to monitor the logs of the fullstack IDE to keep a track over its working,,1,Everything done except user-mapping; needs Data team's help (BigQuery),Fullstack,Yes,,Aligned,,Dependency on Big Query Tables,Sarthak,In Progress,Jatin,
