Category,Ask / Requirement,,Post Admissions Remarks,UR Team Remarks,Deal Breaker,Priority,db - o
Academic Timings & Structure,Official working hours support 7 academic hours per day (excluding lunch and other breaks) with one hour per slot/ period,,,"6 hours definately,

7th hour depends on transportation",,P1,
Academic Timings & Structure,6-day working week should be acceptable by the university to both staff and students,,,6th day depends on transportation,,P1,
Academic Timings & Structure,"Classes, workshops, co-curricular, and extra-curricular activities should be allowed after college hours and on Sundays/holidays",,,,,P1,
Academic Operational Asks,"NIAT requires 92 effective teaching/ instructional (equivalent to 644 instructional hours), excluding holidays, Sundays, graded academic exam days, and induction days.",Need splt of time slots for this 630 hours,"First sem it shall be for 75 days, 7 hours a day","


Need split of time slots for this 630 hours",,P0,
Academic Operational Asks,Inside Induction programme Need 1 day to NIAT specific orientation.,,,,,P1,
Academic Operational Asks,Academic calendar must be finalized 1 month before university start date/Semester start date,,,Will try to get in 15 days - Almanac,,P1,
Operational & Academic Autonomy,"NIAT/NxtWave shall retain complete control over delivery of all Technical subjects, Mathematics, Aptitude, and English
- Teaching 
- Curriculum Design (subjects, labs, course inside)",,,BOS Outcomes - Pavan and new hire will be responsible,,P1,
Operational & Academic Autonomy,The entire class schedule and timetable must be under NIAT control.,,,,,P1,
Operational & Academic Autonomy,"NIAT should be allowed to conduct online classes for students if required, including on holidays for effective student outcomes. ",,,Online when scheduled gets disturbed for some reasons,,P2,
Operational & Academic Autonomy,"All university-related non-tech subjects must be handled and paid for by the university directly (in case of co-delivery or full delivery, non-core subjects must be NPTEL or MOOC courses)",,,Will try with few universities and will update,,,
Class Strength & Capacity,Class strength should be 75-90 .,,,,,P1,
Mode of Instruction,"Digital examinations should be permitted and be considered for grading of students.
- Online MCQs and coding assessments should be accepted for grading.",,,Need regulations and how are we ensuring that regulations are being followed. Along with case studies at different university,,P2,
,,,,,,,
Curriculum & BOS,"BOS must be completed before semester start date
In the worst case, it should be frozen among the university staff and NIAT BOS team over mail.",,,BOS Outcomes - Pavan and new hire will be responsible,,,
Curriculum & BOS,"Mandatory subjects by AICTE should be defined from university side - EVS, Indian Constition",,,BOS Outcomes - Pavan and new hire will be responsible,,,
,,,,,,,
"HR, Staffing & Workload","The appointment, deployment and termination of instructors for Tech, Maths, English, and Aptitude should be completely under NIAT control",,,,yes,P0,Yes
"HR, Staffing & Workload",The vetting and interview process will be conducted by NIAT and is considered final; the university should not conduct any secondary interviews.,,,,,P2,Yes
"HR, Staffing & Workload",NIAT determines the number of instructors that are required per subject for all the sections ; The allocated instrcutors will not be in university but as per compliance they will be mentioned in university payroll.,,,Will discuss with universities and can cinfirm,,P1,Yes
"HR, Staffing & Workload","There should be no cap on instructor working hours (e.g., AICTE 16-hour limit does not apply) and NIAT will decide on how many hours per week is allocated to instructors.",,,,,P1,Yes
"HR, Staffing & Workload",Utilization of instructors (who teaches which class) is decided solely by NIAT,,,,,P1,Yes
"HR, Staffing & Workload","Instructors will focus exclusively on core academic activities (teaching, mentoring, hackathons, evaluation and invigilations) and are exempt from administrative roles like event convening, disciplinary committees, or course in-charge duties",,,,,,
"HR, Staffing & Workload",Instructors of NIAT will not mandated to publish any research papers or engage in non-core activities.,,,,,,
"HR, Staffing & Workload",There are no restrictions on instructors covering classes for colleagues on leave to ensure business continuity,,,,,P1,
"HR, Staffing & Workload","University should not appoint anyone without NIAT approval or without NIAT interviewing them to teach NIAT students core subjects, maths, english, aptitude",,,,,P0,Yes
"HR, Staffing & Workload",Our Faculty will not be participating in any FDP programs if it is impacting schedule,,,,,P1,Yes
Payroll & Financial Models,NIAT instructors will be in dual payroll: University (10%) and NxtWave (90%),,,Will check with university,,,Yes
Payroll & Financial Models,"If instructors are moved to university payroll for partial payment, the structure must match NxtWave's salary standards- For Complete transfer of payroll",,,,,,Yes
Payroll & Financial Models,Salaries must be credited by 5th of every month,,,inform universities - 1st of every month,,P0,Yes
Payroll & Financial Models,"All operational guidelines, leave policies, and notice periods will remain aligned with NxtWave policies",,,,,P1,Yes
"Policies, Compliance & Administration",Instructors are entitled to Sick Leave and Casual Leave or any other leaves will be aligned with NxtWave's policy,,,,,,
"Policies, Compliance & Administration","NxtWave employees will follow standard business formals; no institution-specific strict dress codes (e.g., mandatory sarees for women) shall be imposed",,,Need to discuss with internal team and finalise,,,Yes
"Policies, Compliance & Administration",Instructors are exempt from submitting original certificates to the university ,,,,,,Yes
Attendance Protocols,The university should allow NIAT to install a biometric attendance system for faculty,,,,,P2,
Attendance Protocols,Collection and storing of attendence will be taken care by NIAT and it will be submitted to university for compliance.(Students can give attendance via NxtWave app),,,,,P1,
Classroom Infrastructure,85–95 inch (font size of 14 shall be displayed so that every student in classroom can view the screen)display shall available per classroom depending on size,,,,,P0,
Classroom Infrastructure,Writing-enabled smart board (incase of inavailability of smartboards then Wacom or equivalent shall be available),,,Check with Rahul,,P0,
Classroom Infrastructure,CollarMic and speaker system available,,,,,P0,
Classroom Infrastructure,"WiFi minimum 500 Mbps and 30mbps per student with two access points ; each access point catering to 50+ devices per classroom, A dedicated backup leased line also shall be provided.",,,Will be updated PD,,P0,
Classroom Infrastructure,One power socket per student should be provided.,,,,,P0,
Classroom Infrastructure,Air-conditioned classrooms with sytem capabaility of maintaning minimum of 21 degrees of room temperature at all times ,,,,,P1,
Classroom Infrastructure,Ergonomic student seating shall be arranged.,,,,,P1,
Teaching Systems,"If no smart board, then desktop/laptop shall be provided (i7, 16GB RAM, 4GB graphics minimum).",,,,,P1,
Lab & Evaluation,Online MCQs and coding tasks should be accepted as lab internal and external evaluation,,,,,P2,
Infrastructure & Logistics Asks,Students need separate bus facility with timings from x am to y pm,,,,,P2,
Infrastructure & Logistics Asks,Backup power shall be provided.,,,,,P1,
,,,,,,,
Infrastructure & Curriculum Strategy,The university must provide a dedicated staff room with proper WiFi connectivity and transport facilities for all NxtWave staff (paid),,,,,P1,
Infrastructure & Curriculum Strategy,"Staff rooms must have AC, ergonomic furniture, coffee machines, and proper washrooms with 1:1 staff seats",,,No Coffee machine,,P2,
,,,,,,,
Staff Room Infrastructure,Adequate power sockets in staff rooms,,,,,P1,
Campus Facilities,Auditorium and other common areas access shall be permitted for conducting events/activities for NIAT students based on availability,,,,,P2,
Campus Facilities,Playground and sports facilities shall be accessible for students and staff,,,,,P2,
Student Amenities,"Clean, ventilated washrooms with dedicated cleaning staff for students",,,,,P1,
Student Amenities,Drinking water shall be accesible for NIAT students floor,,,,,P2,
Clubs & Events,NIAT shall be allowed to form independent clubs/societies/independent bodies,,,,,P1,
Clubs & Events,NIAT-exclusive events should be permitted on campus,,,Not sure on this,,P1,
Student Support,"There is a role appointed by NIAT called SUCCESS COACHES, they will be looking after student success/wholistic wellbeing of student, student interaction and parent interaction.",,,,,P2,
Medical Policy,Defined medical and emergency response policy shall be shared to NIAT so that our operations team can also be alligned with it,,,This is information,,P2,
Student Attendance,Minimum attendance percentage for students should be kept at 85%.,,,Discuss with Rahul,,P2,
Student Attendance,Consequences for not meeting minimum attendance shall be defined as per university regulations.,,,,,P1,
Assessment & Exam Coordination,NIAT conducts all internal continuous evaluations and semester end exams,,,,,P2,
,,,,,,,
Examinations & Preparations,NIAT should have flexibility to decide on exam schedule,,,,,P2,
Admission Integration,"Admission integration process that is counselling, certificate verification, eligibility verification and providing admission letter should be strictly done offline and before 15 days of semster start date.",,,,,P1,
Financial Process,Escrow-based fee collection shall be accepted,,,,,P1,
Financial Process,Online payment gateway reccomended by NIAT shall be supported.,,,,,P1,
Infrastructure Readiness,University shall fulfill agreed infrastructure layouts before semester start date,,,,,P1,
Fee Collection,NIAT shall not responsible for hostel and transportation fee collection,,,,,P1,
,,,,,,,
Key Mutual Agreements,No curriculum modifications in middle of academic year without VC + NIAT Academic Council approval.,,,create academic council names,,,
Key Mutual Agreements,Mandatory and external certifications info passed to curriculum teams,,,,,,
Key Mutual Agreements,All BOS signatures completed before university start,,,,,P1,
Key Mutual Agreements,"No ad-hoc or extended holidays after academic calendar finalized; if allowed, must be compensated or permit online classes during daytime",,,,,P1,
Infrastructure & Logistics Asks,Need atleast 600-700 sqft for establishing 5.0 Lab in universities. Necessary facilities must be arranged as suggested by facilities team,,,,,P0,
