Course Id,Course Name,Module Name,Session No.,Session ID,Session Name,Key Takeaways,Outline,Session PPT,Reading Material id,Reading Material Content,Recorded Session Transcript
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Introduction to Python,1,837f23cb-d3be-4f96-877f-b76f7defe3e2,Programming with Python,"Introduction to Programming
* Programming, Code, Syntax
Displaying a Message
* Hello World!
Calculations with Python
* Arithmetic Operators",Define software. Define programming. Define code. Differentiate syntax from natural grammar. Justify why Python is beginner-friendly. List at least 3 applications of Python. Identify at least 3 Python-related career paths. Successfully write and run Hello World in Python. Identify and correct beginner mistakes. Distinguish between text vs evaluated results. Perform addition in Python. Perform subtraction in Python. Perform multiplication in Python. Perform division in Python.,https://docs.google.com/presentation/d/e/2PACX-1vR6P8kLux5kdc7qg6K5u2daOxPlcH0Om9_xTjsZWRY55eCe5bboJPdNNCgswObCcWdlXOvVAyHnyy44/embed?start=false&loop=false&delayms=3000,e57497b0-cccd-4ec6-bd44-5c791468d4f0,"# Intro to Programming with Python

**Software**

Software is a set of instructions to the hardware.

**Programming**

Programming means writing the instructions to create a software.

**Code**

The instructions that we write to create software is called **Code**.

**Syntax**

Similar to Grammar rules in English, Hindi, each programming language has a unique set of rules. These rules are called the **Syntax** of a Programming Language.

## Why Python
Python is an easy to learn, powerful programming language. With Python, it is possible to create programs with minimal amount of code. Look at the code in Java and Python used for printing the message **""Hello World""**

**Java:**

```java
class Main {
    public static void main(String[] args) {
        System.out.println(""Hello World"");
    }
}
```

**Python:**

```python
print(""Hello World"")
```

### Applications of Python

Python is a versatile language which has applications in almost every field

-   Artificial intelligence (AI)
-   Machine Learning (ML)
-   Big Data
-   Smart Devices/Internet of Things (IoT)
-   Cyber Security
-   Game Development
-   Backend Development, etc.

### Career Opportunities
Python developers have plenty of opportunities across the world

-   DevOps Engineer
-   Software Developer
-   Data Analyst
-   Data Scientist
-   Machine Learning (ML) Engineer
-   AI Scientist, etc.

## Hello World Program in Python

Here is a simple Python code that you can use to display the message **""Hello World""**

#### Code

```python
print(""Hello World!"")
```

#### Output


```

Hello World! 
```

### Possible Mistakes

Possible mistakes you may make while writing Python code to display the message ""Hello World""

- Spelling Mistake in print 

```python
prnt(""Hello World!"")
```

- Uppercase ‘P’ in Print

```python
Print(""Hello World!"")
```

- Missing quotes 

```python
print(Hello World!)
```

- Missing parentheses

```python
print(""Hello World!""
```

## Printing Without Quotes

If we want to print the numerical result of 2 + 5, we do not add quotes.

#### Code

```python
print(2 + 5) 
```
#### Output

```

7 
```
If we want to print the exact message ""2 + 5"", then we add the quotes.

#### Code

```python
print(""2 + 5"") 
```

#### Output

```

2 + 5 
```

## Calculations with python

**Addition**

Addition is denoted by `+` sign.
It gives the sum of two numbers.

#### Code

```python
print(2 + 5) 
print(1 + 1.5) 
```

#### Output

```
7 
2.5 
```

**Subtraction**

Subtraction is denoted by `-` sign.
It gives the difference between two numbers.

#### Code

```python
print(5 - 2) 
```

#### Output

```

3
```

**Multiplication**

Multiplication is denoted by `*` sign.

#### Code

```python
print(2 * 5)
print(5 * 0.5)
```

#### Output

```
10
2.5
```

**Division**

Division is denoted by `/` sign.

#### Code

```python
print(5 / 2)
print(4/2)
```

#### Output

```
2.5
2.0
```",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/08d134ef-f523-44d6-8e5d-c7f1475325ac_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Introduction to Python,2,f2a6cdec-7135-4db4-9466-d80aa26999fd,Coding Practice Walkthrough | Part 1,,,,,,https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/9491e95b-47b6-4b14-be33-e22a3288787a_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Introduction to Python,3,e89439e9-5e5e-4d4e-8f63-c55e4f81fd01,Leveraging Gen AI for Accelerated learning,"Al-powered Learning
* Maximize your learning with Al
Code Explanation
Generation
* Generating Code
* Quiz Generation
* Coding Problem Generation",,https://docs.google.com/presentation/d/e/2PACX-1vSd7udD4wdXdeGV09en08k82I_PDpIcUe_Mxzsoj-UqJZsijNmBq1gu4r-6AIZssiUCnzxe8m6osQgM/pubembed?start=false&loop=false&delayms=3000,,,https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/9b1ee0ec-466d-4f41-86a5-58638ada03dd_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Introduction to Python,4,60a0f780-6133-4e84-9c62-32a99d1ec7a0,Variables and Data Types,"Variables
Data types
* Integer
* Float
* String
* Boolean
Assigning Value to Variable
* Assignment Operator","Define variables and understand their role in programs. Values are stored in variables. Assign values to variables in Python. Identify different data types like String, Integer, Float, Boolean. Work with string data in Python. Work with integers in Python. Work with floating-point numbers in Python. Understand Boolean logic in Python.",https://docs.google.com/presentation/d/e/2PACX-1vQnD9Fk2z3_4Rut11HJ4pJW5L9KaZ2SYROrwDs8jj59dhPgP1k8v4oULLl8yf0CbzwtVtrUN9eQdIeD/embed?start=false&loop=false&delayms=3000,32aa5427-e439-4305-be93-7dc294eb495b,"# Variables and Data Types

**Variables**

Variables are like containers for storing values.
Values in the variables can be changed.

**Values**

Consider that variables are like containers for storing information.
In context of programming, this information is often referred to as value.

## Data Type

In programming languages, every value or data has an associated type to it known as data type.
Some commonly used data types

- String
- Integer
- Float
- Boolean

This data type determines how the value or data can be used in the program. For example, mathematical operations can be done on Integer and Float types of data.

**String**

A String is a stream of characters enclosed within quotes.
Stream of Characters

- Capital Letters ( A – Z )
- Small Letters ( a – z )
- Digits ( 0 – 9 )
- Special Characters (~ ! @ # $ % ^ . ?,)
- Space


Some Examples

- `""Hello World!""`
- `""some@example.com""`
- `""1234""`

<MultiLineNote>
The Stream of characters enclosed within quotes (**Both single quotes and Double quotes**) are considered as **strings**.

* 'hello'
* ""hello""
</MultiLineNote>


**Integer**

All whole numbers (positive, negative and zero) without any fractional part come under Integers.
Examples

` ...-3, -2, -1, 0, 1, 2, 3,...`


**Float**

Any number with a decimal point
`24.3, 345.210, -321.86`

**Boolean**

In a general sense, anything that can take one of two possible values is considered a Boolean. Examples include the data that can take values like 

- `True or False`
- `Yes or No`
- `0 or 1` 
- `On or Off`, etc.

As per the Python Syntax, `True` and `False` are considered as Boolean values.
Notice that both start with a capital letter.

### Assigning Value to Variable

The following is the syntax for assigning an integer value `10` to a variable `age`

```python
age = 10
```

Here the equals to `=` sign is called as **Assignment Operator** as it is used to assign values to variables.",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_beta/media/transcripts/f2ae236b-bee0-4235-9dac-767cdde65360_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Sequence of Instructions,5,90eaf231-9992-4c58-9015-c9d5312bb2eb,Sequence of Instructions,"Variables
* Printing, Assigning
* Common Mistakes
* Spacing in Python
Expressions
* BODMAS",Define variables in Python. Print variables and their values. Understand the difference between variable names and their values. Understand the importance of defining variables before use. Indentation affects Python syntax. Change the value of a variable. Assign values using expressions. Create and evaluate expressions. Understand the order of operations in expressions. Python evaluates expressions.,https://docs.google.com/presentation/d/e/2PACX-1vQFdHYHvsaQznbXBmhQ0pg0lWJj8qNWAdr3u9jOCdl6U5ZoLOivkadsBDzPL1zW5WUh6fzrnherqy5c/embed?start=false&loop=false&delayms=3000,7f36724e-216f-4adc-8a37-d2c56dbec018,"# Sequence of Instructions

**Program**
A program is a sequence of instructions given to a computer.

## Defining a Variable
A variable gets created when you assign a value to it for the first time.

#### Code

```python
age = 10
```

### Printing Value in a Variable

#### Code

```python
age = 10
print(age)
```

#### Output

```

10
```

#### Code

```python
age = 10
print(""age"")
```

#### Output

```

age
```

Variable name enclosed in quotes will print variable rather than the value in it.
If you intend to print value, do not enclose the variable in quotes.

## Order of Instructions

Python executes the code line-by-line.

#### Code

```python
print(age)
age = 10
```

#### Output

```

NameError: name 'age' is not defined
```

Variable `age` is not created by the time we tried to print.

### Spacing in Python

Having spaces at the beginning of line causes errors.

#### Code

```python
a = 10 * 5
b = 5 * 0.5
 b = a + b
```

#### Output

```
File ""main.py"", line 3
    b = a + b
    ^
IndentationError: unexpected indent
```

### Variable Assignment
Values in the variables can be changed.

#### Code

```python
a = 1
print(a)
a = 2
print(a)
```

#### Output

```
1
2
```

**Examples of Variable Assignment**

#### Code

```python
a = 2
print(a)
a = a + 1
print(a)
```

#### Output

```
2
3
```


#### Code

```python
a = 1
b = 2
a = b + 1
print(a)
print(b)
```

#### Output

```
3
2
```


## Expression
An expression is a valid combination of values, variables and operators.

*Examples* 
    a \* b
    a + 2
    5 \* 2 + 3 \* 4


**BODMAS**
The standard order of evaluating an expression

- *Brackets* (B)
- *Orders* (O)
- *Division* (D)
- *Multiplication* (M)
- *Addition* (A)
- *Subtraction* (S)

*Step by Step Explanation*

```
(5 * 2) + (3 * 4)
(10) + (12)
22
```

#### Code

```python
print(10 / 2 + 3)
print(10 / (2 + 3))
```

#### Output

```
8.0
2.0
```",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/536355e6-1285-44e3-8cf5-696b7406a12c_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Sequence of Instructions,6,c3c48270-5880-4187-bd0c-6716a94cb99d,Input and Output Basics,"Strings
* String Concatenation
* String Repetition
Reading Input
Indexing",Combine strings in Python. Understand the errors that occur when concatenating different types. Repeat strings using the * operator. Find the length of a string. Take input from users. Handle user input for string concatenation. Access specific characters in a string. Handle out-of-range indexing errors. Slice strings based on indices.,https://docs.google.com/presentation/d/e/2PACX-1vQYjvfsahesPTX_3-In1wTkwsCfSDcFIQLQsIpDpwu-Q5yfJKEqEkQOCbrQCfou0lgpW3vEh38lAgZm/embed?start=false&loop=false&delayms=3000,115d5b6e-cd8c-4925-9f68-5be66507aab4,"# Inputs and Outputs Basics

## Working with Strings

## String Concatenation
Joining strings together is called string concatenation.

#### Code

```python
a = ""Hello"" + "" "" + ""World""
print(a)
```

#### Output

```
Hello World
```

## Concatenation Errors

String Concatenation is possible only with strings.

#### Code

```python
a = ""*"" + 10
print(a)
```

#### Output

```
File ""main.py"", line 1
    a = ""*"" + 10
    ^
TypeError: 
can only concatenate str (not ""int"") to str
```

## String Repetition

`*` operator is used for repeating strings any number of times as required.

#### Code

```python
a = ""*"" * 10
print(a)
```

#### Output

```
**********
```

#### Code

```python
s = ""Python""
s = (""* "" * 3) + s + ("" *"" * 3)
print(s)
```

#### Output

```
* * * Python * * *
```

## Length of String
`len()` returns the number of characters in a given string.

#### Code

```python
username = input()
length = len(username)
print(length)
```

#### Input

```
Ravi
```

#### Output

```
4
```

## Take Input From User

* `input()` allows flexibility to take the input from the user.
* input() reads a line of input as a **string**.

**Example - 1**:

#### Code

```python
username = input()
print(username)
```

#### Input

```
Ajay
```

#### Output

```
Ajay
```

**Example - 2**:

#### Code

```python
username = input()
age = input()
print(username + "" is "" + age + "" years old"")
```

#### Input

```
Ravi
10
```

#### Output

```
Ravi is 10 years old
```

<MultiLineNote>
* Even though you **can't** directly **combine strings and integers**, the code works because `input()` returns a **string**. 
* `input()` converts user-entered data (including numbers, booleans, etc) to string. You will learn more about this in further sessions.
* In this case, ""10"" becomes a string, allowing it to Concatenate and be the part of the final message.
</MultiLineNote>


## String Indexing

We can access an individual character in a string using their positions (which start from 0).
These positions are also called as index.

#### Code

```python
username = ""Ravi""
first_letter = username[0]
print(first_letter)
```

#### Output

```
R
```

### IndexError

Attempting to use an index that is too large will result in an error:


#### Code

```python
username = ""Ravi""
print(username[4])
```

#### Output

```
IndexError: string index out of range
```",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/81045cdb-bdb7-46d4-ac47-1524867e6b30_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Type Conversions,7,644bef74-d150-4442-ba7b-0e03acfe3544,How to debug your code?,,,https://docs.google.com/presentation/d/e/2PACX-1vRZpRiCyBpkIAdwuhpfHZhUOfOYd0bmjfwSzhTtFjrnFmeCBOTURVSML_YW3bFkUxtC9Msp0RQr8qq6/embed?start=false&loop=false&delayms=3000,,,https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/e9f84878-8368-440b-8f14-799ec22fa95a_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Type Conversions,8,dcc9159c-fe50-428b-8cc1-e3211b66d2ef,Type Conversions,"Strings
* Slicing
Type Conversions
* type()
* String to Integer
* Integer to String",Slice strings up to the end. Slice strings from the start. Check the type of a variable. Convert strings to integers using int(). Handle errors when converting types. Add numbers after converting input to integers. Convert integers to strings using str(). Convert between different data types.,https://docs.google.com/presentation/d/e/2PACX-1vQ89E2Z1VeTZaehSbEHvX0JhtUXKov03kTSr56fS60LrJxB5jXmAcG1YrD1gQGiH89M3UiNOjj5fInZ/embed?start=false&loop=false&delayms=3000,5de624d9-3ae4-4a49-8049-4d691a378cec,"# Type Conversion

## String Slicing

Obtaining a part of a string is called string slicing.

#### Code

```python
variable_name[start_index:end_index]
```

- Start from the `start_index` and stops at `end_index`
- `end_index` is not included in the slice.



#### Code

```python
message = ""Hi Ravi""
part = message[3:7]
print(part)
```

#### Output

```

Ravi
```

### Slicing to End

If end index is not specified, slicing stops at the end of the string.

#### Code

```python
message = ""Hi Ravi""
part = message[3:]
print(part)
```

#### Output

```

Ravi
```


### Slicing from Start

If start index is not specified, slicing starts from the index 0.

#### Code

```python
message = ""Hi Ravi""
part = message[:2]
print(part)
```

#### Output

```

Hi
```

## Checking Data Type

Check the datatype of the variable or value using `type()` 

**Printing Data Type**

#### Code

```python
print(type(10))
print(type(4.2))
print(type(""Hi""))
```

#### Output

```
<class 'int'>
<class 'float'>
<class 'str'>
```


## Type Conversion

Converting the value of one data type to another data type is called *Type Conversion* or *Type Casting*.
We can convert

- String to Integer
- Integer to Float
- Float to String and so on.

### String to Integer
`int()` converts valid data of any type to integer

#### Code

```python
a = ""5""
a = int(a)
print(type(a))
print(a)
```

#### Output

```
<class 'int'>
5
```


### Invalid Integer Conversion

#### Code

```python
a = ""Five""
a = int(a)
print(type(a))
```

#### Output

```
ValueError: 
invalid literal for int() with base 10: 'Five'
```

#### Code

```python
a = ""5.0""
a = int(a)
print(type(a))
```

#### Output

```

invalid literal for int() with base 10: '5.0'
```

### Adding Two Numbers

#### Code

```python
a = input()
a = int(a)
b = input()
b = int(b)
result = a + b
print(result)
```

#### Input

```
2
3
```

#### Output

```

5
```

### Integer to String

`str()` converts data of any type to a string.

#### Code

```python
a = input()
a = int(a)
b = input()
b = int(b)
result = a + b
print(""Sum: "" + str(result))
```

#### Input

```
2
3
```

#### Output

```

Sum: 5
```

## Summary
1. `int()`  -> Converts to integer data type
- `float()` -> Converts to float data type
- `str()`   -> Converts to string data type
- `bool()`  -> Converts to boolean data type",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/881434a3-19b9-4e5b-8b8c-f26f75d0c6d3_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Operators,9,4ed1f4cf-692d-404a-b1c3-ba0cd1863197,Relational Operators,"Comparing Numbers
* Relational Operators (>, <, >=, <=, !=, ==)
Comparing Strings
* Equality",Compare values using relational operators. Avoid common relational operator mistakes. Compare numbers using relational operators. Compare integers and floats using relational operators. Compare strings using relational operators. Python handles case sensitivity in string comparisons. Compare different data types using relational operators.,https://docs.google.com/presentation/d/e/2PACX-1vQQ5qSVUFsRG0I7CDwpvyNR4b8fPamDXPA4lwoTxfBewHv5aYUvRkySj3sh7YUcBoJt4wTliFV91oOD/embed?start=false&loop=false&delayms=3000,e03da18b-8523-445e-81e9-8519b1c16a61,"# Relational Operators

Relational Operators are used to compare values.    
Gives `True` or `False` as the result of a comparison.    
    
These are different relational operators    

| Operator | Name |  
|-----------|-----|  
| > | Is greater than  |  
| < | Is less than  |  
| == | Is equal to  |  
| <= | Is less than or equal to |  
| >= | Is greater than or equal to |    
| != | Is not equal to  |  
    
#### Code  
  
```python  
print(5 < 10)
print(2 > 1)
```  
  
#### Output  
  
```
True
True  
```

### Possible Mistakes

**Mistake - 1**

#### Code

```python  
print(3 = 3)  
```

#### Output

```

SyntaxError: expression cannot contain assignment, perhaps you meant ""==""?  
```

**Mistake - 2**
  
#### Code

```python  
print(2 < = 3)  
```

#### Output

```  

SyntaxError: invalid syntax  
```

Space between relational operators `==`, `>=`, `<=` , `!=` is not valid in Python.


### Comparing Numbers

#### Code  
  
```python  
print(2 <= 3)  
print(2.53 >= 2.55)  
```
  
#### Output  
  
```
True  
False
```

### Comparing Integers and Floats

#### Code  
  
```python  
print(12 == 12.0)  
print(12 == 12.1)  
```
  
#### Output  
  
```
True  
False
```


### Comparing Strings

#### Code  
  
```python  
print(""ABC"" == ""ABC"")  
print(""CBA"" != ""ABC"")  
```
  
#### Output  
  
```
True  
True
```


### Case Sensitive

#### Code  
  
```python  
print(""ABC"" == ""abc"")  
```
  
#### Output  
  
```

False  
```
  
Python is case sensitive. 
It means `X` (Capital letter) and `x` (small letter) are not the same in Python.

## Strings and Equality Operator

#### Code  
  
```python  
print(True == ""True"")  
print(123 == ""123"")  
print(1.1 == ""1.1"")  
```

#### Output  
  
```
False  
False
False
```",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/38bb1e81-7cc3-4bae-adda-dd12e129f3b4_transcript.srt
4b8803cc-8ecb-4284-9fcf-53c5afd2a93c,Computer Programming Using Python,Operators,10,6ecba024-b99d-499e-8bdd-6791519ea5ae,Logical Operators,"Logical Operators
* and
* or
* not
Code Walkthrough",Use the and operator with boolean values. Evaluate complex conditions with and. Use the or operator with boolean values. Evaluate complex conditions with or. Use the not operator to invert boolean values. Invert boolean expressions using not. Recall the use and behavior of logical operators.,https://docs.google.com/presentation/d/e/2PACX-1vTegT9dg0bfsWAIcZUaQGohqldx6hH_91HRZaRvXP1tP60AktsR9c0RD6NZjPPvnYgayPRM0IXXmrMI/embed?start=false&loop=false&delayms=3000,35dfbabb-e989-46fd-8a1f-12f1a158cf84,"# Logical Operators

The logical operators are used to perform logical operations on Boolean values.  
Gives `True` or `False` as the result.  
  
Following are the logical operators  

- `and`  
- `or`  
- `not`

## Logical AND Operator

Gives `True` if both the booleans are true else, it gives `False`
  
#### Code  
  
```python  
print(True and True)  
```
  
#### Output  
  
```

True
```

**Examples of Logical AND**

#### Code

```python
print((2 < 3) and (1 < 2))  
```  

*Step by Step Explanation*

```
(2 < 3) and (1 < 2)  
True and (1 < 2)  
True and True  
```  
  
#### Output  
  
```

True
```

## Logical OR Operator

Gives `True` if any one of the booleans is true else, it gives `False`
  
#### Code  
  
```python  
print(False or False)  
```
  
#### Output  
  
```

False
```

**Examples of Logical OR**

#### Code  
  
```python  
print((2 < 3) or (2 < 1))  
```

*Step by Step Explanation*

```
(2 < 3) or (2 < 1)  
True or (2 < 1)  
True or False  
```

#### Output  
  
```

True
```

## Logical NOT Operator
Gives the opposite value of the given boolean.
  
  
#### Code  
  
```python  
print(not(False))  
```
  
#### Output  
  
```

True
```

**Examples of Logical NOT**

#### Code  
  
```python  
print(not(2 < 3))  
```


*Step by Step Explanation*

```
not(2 < 3)  
not(True)  
False  
```

#### Output  
  
```

False
```

### Summary

1. Logical *AND* Operator gives `True` if all the booleans are true.  
- Logical *OR* Operator gives `True` if any of the booleans are true.  
- Logical *NOT* Operator gives the opposite value",https://nkb-backend-ccbp-media-static.s3.amazonaws.com/ccbp_prod/media/transcripts/4ce7de08-de7c-4ab5-b810-9854692d076d_transcript.srt
